timeframe,param_id,friction_case,entry_mode,n,atr_period,atr_mult,vol_z_min,close_loc_long_min,close_loc_short_max,taker_fee_bps_per_side,slippage_bps_per_side,max_hold_bars,use_room_filter,room_lookback,min_room_r,use_trend_filter,ema_period,ema_slope_lookback,use_overextension_filter,max_ema_distance_atr,symbol,total_trades,trades_per_year,win_rate,ev_per_trade_r,total_ev_r,max_drawdown_r,max_losing_streak,profit_factor,average_win_r,average_loss_r
1h,n100_atr14_m1.5_vz1.5_cl0.7_cs0.3,base,next_close,100,14,1.5,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,SOLUSDT,2,5.1039301310043665,0.0,-0.6492815084171414,-1.2985630168342828,,,0.0,0.0,-0.6492815084171414
1h,n100_atr14_m1.5_vz1.5_cl0.7_cs0.3,base,next_close,100,14,1.5,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,XRPUSDT,1,365.25,1.0,0.1382607544675642,0.1382607544675642,,,inf,0.1382607544675642,0.0
1h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,2,4.554949337490257,0.5,-0.3028847735602136,-0.6057695471204272,,,0.4309573357942747,0.4587719806505451,-1.0645415277709722
1h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,2,4.829752066115702,0.0,-1.070775899400879,-2.141551798801758,,,0.0,0.0,-1.070775899400879
1h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,4,7.645878761447885,0.25,-0.6385018732074393,-2.5540074928297574,,,0.17760232988390814,0.5515551633353881,-1.0351875520550484
1h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LINKUSDT,1,365.25,1.0,1.0229577868644066,1.0229577868644066,,,inf,1.0229577868644066,0.0
1h,n100_atr14_m1.5_vz1.5_cl0.8_cs0.2,base,next_close,100,14,1.5,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,3,8.076781326781326,0.3333333333333333,0.013734765523208736,0.04120429656962621,,,1.035742852393394,1.194002515249051,-0.5763991093397124
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,4,7.0310808101062765,0.5,-0.0753756450832005,-0.301502580332802,,,0.8626569404280394,0.9468745428114592,-1.0976258329778603
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,2,4.829752066115702,0.0,-1.070775899400879,-2.141551798801758,,,0.0,0.0,-1.070775899400879
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,4,7.645878761447885,0.25,-0.6385018732074393,-2.5540074928297574,,,0.17760232988390814,0.5515551633353881,-1.0351875520550484
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LINKUSDT,2,16.446529080675422,0.5,-0.011210935931448729,-0.022421871862897458,,,0.9785514557551321,1.0229577868644066,-1.045379658727304
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,5,5.437965260545906,0.2,-0.3640325114855841,-1.8201625574279203,,,0.3961304329588761,1.194002515249051,-0.7535412681692428
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,SOLUSDT,1,365.25,0.0,-1.0815848257570373,-1.0815848257570373,,,0.0,0.0,-1.0815848257570373
1h,n100_atr14_m1.5_vz1_cl0.75_cs0.25,base,next_close,100,14,1.5,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,XRPUSDT,2,5.208556149732621,0.5,-0.49377416524682294,-0.9875483304936459,,,0.12281012501540435,0.1382607544675642,-1.1258090849612101
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,4,7.0310808101062765,0.5,-0.0753756450832005,-0.301502580332802,,,0.8626569404280394,0.9468745428114592,-1.0976258329778603
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,2,4.829752066115702,0.0,-1.070775899400879,-2.141551798801758,,,0.0,0.0,-1.070775899400879
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,4,7.645878761447885,0.25,-0.6385018732074393,-2.5540074928297574,,,0.17760232988390814,0.5515551633353881,-1.0351875520550484
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LINKUSDT,2,16.446529080675422,0.5,-0.011210935931448729,-0.022421871862897458,,,0.9785514557551321,1.0229577868644066,-1.045379658727304
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,5,5.437965260545906,0.2,-0.3640325114855841,-1.8201625574279203,,,0.3961304329588761,1.194002515249051,-0.7535412681692428
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,SOLUSDT,2,5.1039301310043665,0.0,-0.6492815084171414,-1.2985630168342828,,,0.0,0.0,-0.6492815084171414
1h,n100_atr14_m1.5_vz1_cl0.7_cs0.3,base,next_close,100,14,1.5,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,XRPUSDT,3,3.6785564414603438,0.3333333333333333,-0.7010218477951852,-2.1030655433855556,,,0.06168702638254807,0.1382607544675642,-1.12066314892656
1h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,100,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,3,5.273310607579708,0.3333333333333333,-0.5788265617683918,-1.7364796853051754,,,0.2089837751931804,0.4587719806505451,-1.0976258329778603
1h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,100,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,2,4.829752066115702,0.0,-1.070775899400879,-2.141551798801758,,,0.0,0.0,-1.070775899400879
1h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,100,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,100,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,4,7.645878761447885,0.25,-0.6385018732074393,-2.5540074928297574,,,0.17760232988390814,0.5515551633353881,-1.0351875520550484
1h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,100,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,100,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LINKUSDT,2,16.446529080675422,0.5,-0.011210935931448729,-0.022421871862897458,,,0.9785514557551321,1.0229577868644066,-1.045379658727304
1h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,100,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,4,10.769041769041769,0.25,-0.17083766192316352,-0.6833506476926541,,,0.6360031446497351,1.194002515249051,-0.625784387647235
1h,n100_atr14_m1.5_vz1_cl0.8_cs0.2,base,next_close,100,14,1.5,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,XRPUSDT,1,365.25,0.0,-1.1258090849612101,-1.1258090849612101,,,0.0,0.0,-1.1258090849612101
1h,n100_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,100,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,2,3.7808928186327364,1.0,0.9468745428114592,1.8937490856229184,,,inf,0.9468745428114592,0.0
1h,n100_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,100,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,100,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,100,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
1h,n100_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,100,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,3,8.076781326781326,0.3333333333333333,0.013734765523208736,0.04120429656962621,,,1.035742852393394,1.194002515249051,-0.5763991093397124
1h,n100_atr14_m1.5_vz2_cl0.75_cs0.25,base,next_close,100,14,1.5,2.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,XRPUSDT,1,365.25,1.0,0.1382607544675642,0.1382607544675642,,,inf,0.1382607544675642,0.0
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,100,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,2,3.7808928186327364,1.0,0.9468745428114592,1.8937490856229184,,,inf,0.9468745428114592,0.0
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,100,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,100,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,100,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,100,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,3,8.076781326781326,0.3333333333333333,0.013734765523208736,0.04120429656962621,,,1.035742852393394,1.194002515249051,-0.5763991093397124
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,100,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,SOLUSDT,1,365.25,0.0,-0.21697819107724542,-0.21697819107724542,,,0.0,0.0,-0.21697819107724542
1h,n100_atr14_m1.5_vz2_cl0.7_cs0.3,base,next_close,100,14,1.5,2.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,XRPUSDT,1,365.25,1.0,0.1382607544675642,0.1382607544675642,,,inf,0.1382607544675642,0.0
1h,n100_atr14_m1.5_vz2_cl0.8_cs0.2,base,next_close,100,14,1.5,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,1,365.25,1.0,0.4587719806505451,0.4587719806505451,,,inf,0.4587719806505451,0.0
1h,n100_atr14_m1.5_vz2_cl0.8_cs0.2,base,next_close,100,14,1.5,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m1.5_vz2_cl0.8_cs0.2,base,next_close,100,14,1.5,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m1.5_vz2_cl0.8_cs0.2,base,next_close,100,14,1.5,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
1h,n100_atr14_m1.5_vz2_cl0.8_cs0.2,base,next_close,100,14,1.5,2.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,3,8.076781326781326,0.3333333333333333,0.013734765523208736,0.04120429656962621,,,1.035742852393394,1.194002515249051,-0.5763991093397124
1h,n100_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,3,5.671339227949105,0.6666666666666666,0.2764025192839821,0.8292075578519462,,,1.7789339694320914,0.9468745428114592,-1.0645415277709722
1h,n100_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
1h,n100_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m2_vz1.5_cl0.75_cs0.25,base,next_close,100,14,2.0,1.5,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,2,44.272727272727266,0.5,0.5426708834101865,1.085341766820373,,,10.988351658858338,1.194002515249051,-0.10866074842867787
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,3,5.671339227949105,0.6666666666666666,0.2764025192839821,0.8292075578519462,,,1.7789339694320914,0.9468745428114592,-1.0645415277709722
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,2,44.272727272727266,0.5,0.5426708834101865,1.085341766820373,,,10.988351658858338,1.194002515249051,-0.10866074842867787
1h,n100_atr14_m2_vz1.5_cl0.7_cs0.3,base,next_close,100,14,2.0,1.5,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,SOLUSDT,1,365.25,0.0,-0.21697819107724542,-0.21697819107724542,,,0.0,0.0,-0.21697819107724542
1h,n100_atr14_m2_vz1.5_cl0.8_cs0.2,base,next_close,100,14,2.0,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,2,4.554949337490257,0.5,-0.3028847735602136,-0.6057695471204272,,,0.4309573357942747,0.4587719806505451,-1.0645415277709722
1h,n100_atr14_m2_vz1.5_cl0.8_cs0.2,base,next_close,100,14,2.0,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m2_vz1.5_cl0.8_cs0.2,base,next_close,100,14,2.0,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m2_vz1.5_cl0.8_cs0.2,base,next_close,100,14,2.0,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
1h,n100_atr14_m2_vz1.5_cl0.8_cs0.2,base,next_close,100,14,2.0,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m2_vz1.5_cl0.8_cs0.2,base,next_close,100,14,2.0,1.5,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,2,44.272727272727266,0.5,0.5426708834101865,1.085341766820373,,,10.988351658858338,1.194002515249051,-0.10866074842867787
1h,n100_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,100,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,4,7.0310808101062765,0.5,-0.0753756450832005,-0.301502580332802,,,0.8626569404280394,0.9468745428114592,-1.0976258329778603
1h,n100_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,100,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,100,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,100,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
1h,n100_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,100,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,100,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,2,44.272727272727266,0.5,0.5426708834101865,1.085341766820373,,,10.988351658858338,1.194002515249051,-0.10866074842867787
1h,n100_atr14_m2_vz1_cl0.75_cs0.25,base,next_close,100,14,2.0,1.0,0.75,0.25,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,XRPUSDT,1,365.25,0.0,-1.1258090849612101,-1.1258090849612101,,,0.0,0.0,-1.1258090849612101
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,4,7.0310808101062765,0.5,-0.0753756450832005,-0.301502580332802,,,0.8626569404280394,0.9468745428114592,-1.0976258329778603
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ETHUSDT,1,365.25,0.0,-0.3484775511620856,-0.3484775511620856,,,0.0,0.0,-0.3484775511620856
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,LTCUSDT,2,44.272727272727266,0.5,0.5426708834101865,1.085341766820373,,,10.988351658858338,1.194002515249051,-0.10866074842867787
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,SOLUSDT,1,365.25,0.0,-0.21697819107724542,-0.21697819107724542,,,0.0,0.0,-0.21697819107724542
1h,n100_atr14_m2_vz1_cl0.7_cs0.3,base,next_close,100,14,2.0,1.0,0.7,0.3,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,XRPUSDT,1,365.25,0.0,-1.1258090849612101,-1.1258090849612101,,,0.0,0.0,-1.1258090849612101
1h,n100_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,100,14,2.0,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,ADAUSDT,3,5.273310607579708,0.3333333333333333,-0.5788265617683918,-1.7364796853051754,,,0.2089837751931804,0.4587719806505451,-1.0976258329778603
1h,n100_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,100,14,2.0,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,AVAXUSDT,1,365.25,0.0,-1.083527447429413,-1.083527447429413,,,0.0,0.0,-1.083527447429413
1h,n100_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,100,14,2.0,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BNBUSDT,1,365.25,0.0,-1.1982371947475698,-1.1982371947475698,,,0.0,0.0,-1.1982371947475698
1h,n100_atr14_m2_vz1_cl0.8_cs0.2,base,next_close,100,14,2.0,1.0,0.8,0.2,4.0,5.0,12,True,50,1.5,True,200,10,True,3.0,BTCUSDT,3,8.306380290587493,0.3333333333333333,-0.468470567174932,-1.405411701524796,,,0.28184185089653735,0.5515551633353881,-0.9784834324300921
